Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
04/09/2018,Money Movement,,,,Wire Funds Received,354.45,,,,,,,,,,,STCC000063
05/09/2018,Trade,BUY_TO_OPEN,TSLA,Equity,,-54.440238,0.1929,-282.22,0,0,0,TSLA,TSLA,,,,
05/09/2018,Trade,BUY_TO_OPEN,AAPL,Equity,,-299.99,1.31,-229,0,0,0,AAPL,AAPL,,,,
31/01/2020,Money Movement,,,,Wire Funds Received,3340.31,,,,,,,,,,,
03/02/2020,Trade,BUY_TO_OPEN,APPS,Equity,,-149.9999999,24.03846153,-6.24,0,0,,APPS,APPS,,,,HAYA012397
03/02/2020,Trade,BUY_TO_OPEN,AAPL,Equity,,-700.0000001,2.30179869,-304.1100002,0,0,,AAPL,AAPL,,,,HAGQ012953
03/02/2020,Trade,BUY_TO_OPEN,VOO,Equity,,-600.0000001,2.0193861,-297.120001,0,0,,VOO,VOO,,,,HARW013350
03/02/2020,Trade,BUY_TO_OPEN,IVV,Equity,,-299.999997,0.92287814,-325.07,0,0,,IVV,IVV,,,,HAFX012129
03/02/2020,Trade,BUY_TO_OPEN,ENPH,Equity,,-500,15.7778479,-31.69,0,0,,ENPH,ENPH,,,,HADV011810
03/02/2020,Trade,BUY_TO_OPEN,GOOGL,Equity,,-499.9999928,0.34091296,-1466.65,0,0,,GOOGL,GOOGL,,,,HAPU012556
03/02/2020,Trade,BUY_TO_OPEN,VHT,Equity,,-94.54999819,0.50087407,-188.77,0,0,,VHT,VHT,,,,HANM012689
03/02/2020,Trade,BUY_TO_OPEN,TSLA,Equity,,-499.999997,0.73689795,-678.52,0,0,,TSLA,TSLA,,,,HADD013128
11/02/2020,Trade,SELL_TO_CLOSE,GOOGL,Equity,,515.999038,0.34091296,1513.58,0,0,,GOOGL,GOOGL,,,,HBFW004945
12/02/2020,Money Movement,,,,Wire Funds Received,1327.82,,,,,,,,,,,
13/02/2020,Money Movement,,AAPL,,,2.36,,,,,,,,,,,
