Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2022-04-20T07:00:00+1000,Money Movement,,/MESM2,Future,/MESM2 mark to market at 4459.25 Final settlement price,"1,087.50",3,362.50,--,0.00,,,,,,,
2022-04-20T05:59:11+1000,Trade,SELL_TO_OPEN,NVDA  220617P00220000,Equity Option,Sold 1 NVDA 06/17/22 Put 220.00 @ 18.20,"1,820.00",1,"1,820.00",-1.00,-0.142,100,NVDA,NVDA,6/18/22,220.0,PUT,210413464
2022-04-20T05:59:11+1000,Trade,SELL_TO_OPEN,NVDA  220617C00220000,Equity Option,Sold 1 NVDA 06/17/22 Call 220.00 @ 20.62,"2,062.00",1,"2,062.00",-1.00,-0.152,100,NVDA,NVDA,6/18/22,220.0,CALL,210413464
2022-04-20T00:17:21+1000,Trade,BUY_TO_CLOSE,FB    220520P00220000,Equity Option,Bought 1 FB 05/20/22 Put 220.00 @ 14.85,"-1,485.00",1,"-1,485.00",0.00,-0.13,100,FB,FB,5/21/22,220.0,PUT,206470293
2022-04-20T00:17:21+1000,Trade,BUY_TO_CLOSE,FB    220520C00220000,Equity Option,Bought 1 FB 05/20/22 Call 220.00 @ 9.51,-951.00,1,-951.00,0.00,-0.13,100,FB,FB,5/21/22,220.0,CALL,206470293
2022-04-19T23:30:21+1000,Trade,BUY_TO_CLOSE,LCID  220520C00036000,Equity Option,Bought 1 LCID 05/20/22 Call 36.00 @ 0.12,-12.00,1,-12.00,0.00,-0.13,100,LCID,LCID,5/21/22,36.0,CALL,210165676
2022-04-19T07:00:00+1000,Money Movement,,,,INTEREST ON CREDIT BALANCE,1.23,0,,--,0.00,,,,,,,
2022-04-19T07:00:00+1000,Money Movement,,/MESM2,Future,/MESM2 mark to market at 4386.75 Final settlement price,-11.25,3,-3.75,--,0.00,,,,,,,
2022-04-19T05:16:15+1000,Trade,SELL_TO_OPEN,NVAX  220520P00054000,Equity Option,Sold 1 NVAX 05/20/22 Put 54.00 @ 7.55,755.00,1,755.00,-1.00,-0.142,100,NVAX,NVAX,5/21/22,54.0,PUT,210188782
2022-04-19T05:10:50+1000,Trade,BUY_TO_OPEN,RBLX,Equity,Bought 25 RBLX @ 40.40,"-1,009.98",25,-40.40,0.00,-0.02,,,,,,,210186784
