Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2022-04-30T07:00:00+1000,Money Movement,,/MESM2,Future,/MESM2 mark to market at 4127.5 Final settlement price,"-2,340.00",3,-780.00,--,0.00,,,,,,,
2022-04-30T05:47:26+1000,Trade,BUY_TO_OPEN,SPY,Equity,Bought 7 SPY @ 413.28,"-2,892.96",7,-413.28,0.00,-0.006,,,,,,,211687985
2022-04-30T01:58:00+1000,Trade,BUY_TO_CLOSE,MSFT  220617C00325000,Equity Option,Bought 2 MSFT 06/17/22 Call 325.00 @ 1.19,-238.00,2,-119.00,0.00,-0.26,100,MSFT,MSFT,6/18/22,325.0,CALL,210767202
2022-04-30T00:02:34+1000,Trade,BUY_TO_CLOSE,ENPH  220520P00200000,Equity Option,Bought 1 ENPH 05/20/22 Put 200.00 @ 33.00,"-3,300.00",1,"-3,300.00",0.00,-0.13,100,ENPH,ENPH,5/21/22,200.0,PUT,212152976
2022-04-30T00:02:34+1000,Trade,SELL_TO_OPEN,ENPH  220617P00200000,Equity Option,Sold 1 ENPH 06/17/22 Put 200.00 @ 37.65,"3,765.00",1,"3,765.00",-1.00,-0.152,100,ENPH,ENPH,6/18/22,200.0,PUT,212152976
2022-04-30T00:02:34+1000,Trade,BUY_TO_CLOSE,ENPH  220520C00145000,Equity Option,Bought 1 ENPH 05/20/22 Call 145.00 @ 28.60,"-2,860.00",1,"-2,860.00",0.00,-0.13,100,ENPH,ENPH,5/21/22,145.0,CALL,212152976
2022-04-30T00:02:34+1000,Trade,SELL_TO_OPEN,ENPH  220617C00145000,Equity Option,Sold 1 ENPH 06/17/22 Call 145.00 @ 32.70,"3,270.00",1,"3,270.00",-1.00,-0.152,100,ENPH,ENPH,6/18/22,145.0,CALL,212152976
2022-04-29T23:33:26+1000,Trade,BUY_TO_CLOSE,APPS  220520P00035000,Equity Option,Bought 1 APPS 05/20/22 Put 35.00 @ 3.67,-367.00,1,-367.00,0.00,-0.13,100,APPS,APPS,5/21/22,35.0,PUT,212158182
2022-04-29T23:33:26+1000,Trade,BUY_TO_CLOSE,APPS  220520P00040000,Equity Option,Bought 1 APPS 05/20/22 Put 40.00 @ 7.25,-725.00,1,-725.00,0.00,-0.13,100,APPS,APPS,5/21/22,40.0,PUT,212158182
2022-04-29T23:33:26+1000,Trade,SELL_TO_OPEN,APPS  220617P00035000,Equity Option,Sold 1 APPS 06/17/22 Put 35.00 @ 5.33,533.00,1,533.00,-1.00,-0.142,100,APPS,APPS,6/18/22,35.0,PUT,212158182
2022-04-29T23:33:26+1000,Trade,SELL_TO_OPEN,APPS  220617P00040000,Equity Option,Sold 1 APPS 06/17/22 Put 40.00 @ 8.79,879.00,1,879.00,-1.00,-0.142,100,APPS,APPS,6/18/22,40.0,PUT,212158182
2022-04-29T23:30:00+1000,Trade,BUY_TO_CLOSE,INTC  220520C00047500,Equity Option,Bought 1 INTC 05/20/22 Call 47.50 @ 0.49,-49.00,1,-49.00,0.00,-0.13,100,INTC,INTC,5/21/22,47.5,CALL,208654351
2022-04-29T23:30:00+1000,Trade,BUY_TO_CLOSE,INTC  220520P00047500,Equity Option,Bought 1 INTC 05/20/22 Put 47.50 @ 3.34,-334.00,1,-334.00,0.00,-0.13,100,INTC,INTC,5/21/22,47.5,PUT,208654351
2022-04-29T07:00:00+1000,Money Movement,,/MESM2,Future,/MESM2 mark to market at 4283.5 Final settlement price,"1,548.75",3,516.25,--,0.00,,,,,,,
