Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2022-04-02T08:00:00+1100,Money Movement,,/MESM2,Future,/MESM2 mark to market at 4539.25 Final settlement price,127.5,3,42.5,--,0,,,,,,,
2022-04-01T08:00:00+1100,Money Movement,,/MESM2,Future,/MESM2 mark to market at 4530.75 Final settlement price,-978.75,3,-326.25,--,0,,,,,,,
2022-03-31T13:40:08+1100,Trade,BUY,/NQM2,Future,Bought 1 /NQM2 @ 15162.0,5,1,5,-1.25,-1.6,,,,,,,207552002
2022-03-31T13:39:57+1100,Trade,SELL,/NQM2,Future,Sold 1 /NQM2 @ 15162.25,0,1,0,-1.25,-1.6,,,,,,,207551994
2022-03-31T08:00:00+1100,Money Movement,,/MESM2,Future,/MESM2 mark to market at 4596.0 Final settlement price,-442.5,3,-147.5,--,0,,,,,,,
2022-03-30T08:00:00+1100,Money Movement,,/MESM2,Future,/MESM2 mark to market at 4625.5 Final settlement price,862.5,3,287.5,--,0,,,,,,,
2022-03-29T08:00:00+1100,Money Movement,,/MESM2,Future,/MESM2 mark to market at 4568.0 Final settlement price,472.5,3,157.5,--,0,,,,,,,
2022-03-26T08:00:00+1100,Money Movement,,/MESM2,Future,/MESM2 mark to market at 4536.5 Final settlement price,360,3,120,--,0,,,,,,,
2022-03-25T08:00:00+1100,Money Movement,,/MESM2,Future,/MESM2 mark to market at 4512.5 Final settlement price,975,3,325,--,0,,,,,,,
2022-03-24T08:00:00+1100,Money Movement,,/MESM2,Future,/MESM2 mark to market at 4447.5 Final settlement price,-862.5,3,-287.5,--,0,,,,,,,
2022-03-23T08:00:00+1100,Money Movement,,/MESM2,Future,/MESM2 mark to market at 4505.0 Final settlement price,791.25,3,263.75,--,0,,,,,,,
2022-03-22T08:00:00+1100,Money Movement,,/MESM2,Future,/MESM2 mark to market at 4452.25 Final settlement price,-18.75,3,-6.25,--,0,,,,,,,
2022-03-19T08:00:00+1100,Money Movement,,/MESM2,Future,/MESM2 mark to market at 4453.5 Final settlement price,772.5,3,257.5,--,0,,,,,,,
2022-03-18T08:00:00+1100,Money Movement,,/MESM2,Future,/MESM2 mark to market at 4402.0 Final settlement price,787.5,3,262.5,--,0,,,,,,,
2022-03-17T08:00:00+1100,Money Movement,,/MESM2,Future,/MESM2 mark to market at 4349.5 Final settlement price,"1,436.25",3,478.75,--,0,,,,,,,
2022-03-16T08:00:00+1100,Money Movement,,/MESM2,Future,/MESM2 mark to market at 4253.75 Final settlement price,"1,353.75",3,451.25,--,0,,,,,,,
2022-03-15T08:00:00+1100,Money Movement,,/MESM2,Future,/MESM2 mark to market at 4163.5 Final settlement price,-431.25,3,-143.75,--,0,,,,,,,
2022-03-14T11:33:28+1100,Trade,BUY,/MESM2,Future,Bought 1 /MESM2 @ 4192.25,0,1,0,-0.85,-0.56,,,,,,,204331560
2022-03-14T11:33:28+1100,Trade,SELL,/MESH2,Future,Sold 1 /MESH2 @ 4201.5,0,1,0,-0.85,-0.56,,,,,,,204331560
2022-03-14T11:27:53+1100,Trade,BUY,/MESM2,Future,Bought 2 /MESM2 @ 4192.25,0,2,0,-1.7,-1.12,,,,,,,204331560
2022-03-14T11:27:53+1100,Trade,SELL,/MESH2,Future,Sold 2 /MESH2 @ 4201.5,0,2,0,-1.7,-1.12,,,,,,,204331560
2022-03-12T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4201.5 Final settlement price,-836.25,3,-278.75,--,0,,,,,,,
2022-03-11T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4257.25 Final settlement price,-270,3,-90,--,0,,,,,,,
2022-03-10T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4275.25 Final settlement price,"1,597.50",3,532.5,--,0,,,,,,,
2022-03-09T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4168.75 Final settlement price,-446.25,3,-148.75,--,0,,,,,,,
2022-03-08T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4198.5 Final settlement price,"-1,931.25",3,-643.75,--,0,,,,,,,
2022-03-05T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4327.25 Final settlement price,-480,3,-160,--,0,,,,,,,
2022-03-04T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4359.25 Final settlement price,-337.5,3,-112.5,--,0,,,,,,,
2022-03-03T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4381.75 Final settlement price,"1,170.00",3,390,--,0,,,,,,,
2022-03-02T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4303.75 Final settlement price,-963.75,3,-321.25,--,0,,,,,,,
2022-03-01T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4368.0 Final settlement price,-180,3,-60,--,0,,,,,,,
2022-02-26T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4380.0 Final settlement price,"1,440.00",3,480,--,0,,,,,,,
2022-02-25T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4284.0 Final settlement price,930,3,310,--,0,,,,,,,
2022-02-24T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4222.0 Final settlement price,"-1,170.00",3,-390,--,0,,,,,,,
2022-02-23T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4300.0 Final settlement price,-318.75,3,-106.25,--,0,,,,,,,
2022-02-22T19:18:32+1100,Trade,SELL,/MESH2,Future,Sold 1 /MESH2 @ 4281.0,-312.5,1,-312.5,-0.85,-0.62,,,,,,,200677467
2022-02-22T13:11:03+1100,Trade,BUY,/MESH2,Future,Bought 1 /MESH2 @ 4276.75,0,1,0,-0.85,-0.62,,,,,,,200669236
2022-02-19T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4343.5 Final settlement price,-465,3,-155,--,0,,,,,,,
2022-02-18T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4374.5 Final settlement price,"-1,432.50",3,-477.5,--,0,,,,,,,
2022-02-17T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4470.0 Final settlement price,82.5,3,27.5,--,0,,,,,,,
2022-02-16T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4464.5 Final settlement price,"1,057.50",3,352.5,--,0,,,,,,,
2022-02-15T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4394.0 Final settlement price,-232.5,3,-77.5,--,0,,,,,,,
2022-02-12T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4409.5 Final settlement price,"-1,320.00",3,-440,--,0,,,,,,,
2022-02-11T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4497.5 Final settlement price,"-1,203.75",3,-401.25,--,0,,,,,,,
2022-02-10T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4577.75 Final settlement price,978.75,3,326.25,--,0,,,,,,,
2022-02-09T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4512.5 Final settlement price,551.25,3,183.75,--,0,,,,,,,
2022-02-08T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4475.75 Final settlement price,-251.25,3,-83.75,--,0,,,,,,,
2022-02-05T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4492.5 Final settlement price,352.5,3,117.5,--,0,,,,,,,
2022-02-04T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4469.0 Final settlement price,"-1,623.75",3,-541.25,--,0,,,,,,,
2022-02-03T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4577.25 Final settlement price,633.75,3,211.25,--,0,,,,,,,
2022-02-02T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4535.0 Final settlement price,461.25,3,153.75,--,0,,,,,,,
2022-02-01T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4504.25 Final settlement price,"1,215.00",3,405,--,0,,,,,,,
2022-01-29T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4423.25 Final settlement price,"1,582.50",3,527.5,--,0,,,,,,,
2022-01-28T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4317.75 Final settlement price,-356.25,3,-118.75,--,0,,,,,,,
2022-01-27T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4341.5 Final settlement price,-112.5,3,-37.5,--,0,,,,,,,
2022-01-26T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4349.0 Final settlement price,-821.25,3,-273.75,--,0,,,,,,,
2022-01-25T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4403.75 Final settlement price,206.25,3,68.75,--,0,,,,,,,
2022-01-22T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4390.0 Final settlement price,"-1,271.25",3,-423.75,--,0,,,,,,,
2022-01-21T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4474.75 Final settlement price,-742.5,3,-247.5,--,0,,,,,,,
2022-01-20T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4524.25 Final settlement price,-705,3,-235,--,0,,,,,,,
2022-01-19T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4571.25 Final settlement price,-882.5,3,-294.17,--,0,,,,,,,
2022-01-19T06:03:35+1100,Trade,BUY,/MESH2,Future,Bought 1 /MESH2 @ 4580.75,0,1,0,-0.85,-0.57,,,,,,,194359831
2022-01-15T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4654.75 Final settlement price,27.5,2,13.75,--,0,,,,,,,
2022-01-14T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4652.0 Final settlement price,-642.5,2,-321.25,--,0,,,,,,,
2022-01-13T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4716.25 Final settlement price,112.5,2,56.25,--,0,,,,,,,
2022-01-12T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4705.0 Final settlement price,427.5,2,213.75,--,0,,,,,,,
2022-01-11T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4662.25 Final settlement price,-55,2,-27.5,--,0,,,,,,,
2022-01-08T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4667.75 Final settlement price,-197.5,2,-98.75,--,0,,,,,,,
2022-01-07T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4687.5 Final settlement price,-50,2,-25,--,0,,,,,,,
2022-01-06T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4692.5 Final settlement price,-646.25,2,-323.12,--,0,,,,,,,
2022-01-06T06:15:11+1100,Trade,BUY,/MESH2,Future,Bought 1 /MESH2 @ 4746.25,0,1,0,-0.85,-0.57,,,,,,,192324719
2022-01-05T17:09:04+1100,Trade,BUY,/MESH2,Future,Bought 1 /MESH2 @ 4768.0,0,1,0,-0.85,-0.57,,,,,,,192153966
