Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2020-12-09T09:00:00+1100,Money Movement,,,,Wire Funds Received,"1,461.60",0,,--,0,,,,,,,
2020-12-10T01:30:06+1100,Trade,BUY_TO_OPEN,ELY   220121C00035000,Equity Option,Bought 3 ELY 01/21/22 Call 35.00 @ 2.45,-735,3,-245,-3,-0.41,100,ELY,ELY,1/22/22,35,CALL,117207490
2020-12-10T01:30:07+1100,Trade,BUY_TO_OPEN,ELY   220121C00035000,Equity Option,Bought 2 ELY 01/21/22 Call 35.00 @ 2.45,-490,2,-245,-2,-0.27,100,ELY,ELY,1/22/22,35,CALL,117207490
2020-12-10T05:52:03+1100,Trade,BUY_TO_OPEN,SOL   201218C00005000,Equity Option,Bought 1 SOL 12/18/20 Call 5.00 @ 0.72,-72,1,-72,-1,-0.14,100,SOL,SOL,12/19/20,5,CALL,117408360
2020-12-10T05:52:03+1100,Trade,BUY_TO_OPEN,SOL   201218C00005000,Equity Option,Bought 1 SOL 12/18/20 Call 5.00 @ 0.72,-72,1,-72,-1,-0.14,100,SOL,SOL,12/19/20,5,CALL,117408360
2020-12-10T05:53:26+1100,Trade,BUY_TO_OPEN,SOL   201218C00005000,Equity Option,Bought 1 SOL 12/18/20 Call 5.00 @ 0.75,-75,1,-75,-1,-0.14,100,SOL,SOL,12/19/20,5,CALL,117409124
2020-12-15T05:18:12+1100,Trade,SELL_TO_CLOSE,SOL   201218C00005000,Equity Option,Sold 1 SOL 12/18/20 Call 5.00 @ 2.35,235,1,235,0,-0.152,100,SOL,SOL,12/19/20,5,CALL,118169520
2020-12-15T05:18:12+1100,Trade,SELL_TO_CLOSE,SOL   201218C00005000,Equity Option,Sold 1 SOL 12/18/20 Call 5.00 @ 2.35,235,1,235,0,-0.152,100,SOL,SOL,12/19/20,5,CALL,118169520
2020-12-15T05:37:43+1100,Trade,SELL_TO_CLOSE,SOL   201218C00005000,Equity Option,Sold 1 SOL 12/18/20 Call 5.00 @ 2.60,260,1,260,0,-0.152,100,SOL,SOL,12/19/20,5,CALL,118170408
2020-12-15T05:49:55+1100,Trade,BUY_TO_OPEN,VXX   201224C00018000,Equity Option,Bought 5 VXX 12/24/20 Call 18.00 @ 0.98,-490,5,-98,-5,-0.68,100,VXX,VXX,12/25/20,18,CALL,118180983
