Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2021-11-05T06:54:55+1100,Trade,BUY_TO_OPEN,NVDA  211119C00340000,Equity Option,Bought 1 NVDA 11/19/21 Call 340.00 @ 5.05,-505,1,-505,-1,-0.12,100,NVDA,NVDA,11/20/21,340,CALL,181766950
2021-11-06T00:44:26+1100,Trade,SELL_TO_CLOSE,NVDA  211119C00340000,Equity Option,Sold 1 NVDA 11/19/21 Call 340.00 @ 10.10,"1,010.00",1,"1,010.00",0,-0.132,100,NVDA,NVDA,11/20/21,340,CALL,181834794
2021-11-18T06:40:34+1100,Trade,SELL_TO_OPEN,NVDA  220121C00360000,Equity Option,Sold 1 NVDA 01/21/22 Call 360.00 @ 6.62,662,1,662,-1,-0.132,100,NVDA,NVDA,1/22/22,360,CALL,184231298
2021-11-18T06:40:34+1100,Trade,SELL_TO_OPEN,NVDA  220121P00270000,Equity Option,Sold 1 NVDA 01/21/22 Put 270.00 @ 12.60,"1,260.00",1,"1,260.00",-1,-0.132,100,NVDA,NVDA,1/22/22,270,PUT,184231298
2021-11-18T06:40:34+1100,Trade,BUY_TO_OPEN,NVDA  220121C00375000,Equity Option,Bought 1 NVDA 01/21/22 Call 375.00 @ 5.07,-507,1,-507,-1,-0.12,100,NVDA,NVDA,1/22/22,375,CALL,184231298
2021-12-14T07:49:54+1100,Trade,BUY_TO_OPEN,NVDA  220121P00268750,Equity Option,Bought 1 NVDA 01/21/22 Put 268.75 @ 12.27,"-1,227.00",1,"-1,227.00",-1,-0.12,100,NVDA,NVDA,1/22/22,268.75,PUT,188742244
2021-12-14T07:49:54+1100,Trade,SELL_TO_OPEN,NVDA  220121P00280000,Equity Option,Sold 1 NVDA 01/21/22 Put 280.00 @ 16.87,"1,687.00",1,"1,687.00",-1,-0.132,100,NVDA,NVDA,1/22/22,280,PUT,188742244
2021-12-18T03:35:43+1100,Trade,SELL_TO_OPEN,NVDA  220121C00345000,Equity Option,Sold 1 NVDA 01/21/22 Call 345.00 @ 4.38,438,1,438,-1,-0.132,100,NVDA,NVDA,1/22/22,345,CALL,189594752
2021-12-18T03:35:43+1100,Trade,SELL_TO_OPEN,NVDA  220121P00260000,Equity Option,Sold 1 NVDA 01/21/22 Put 260.00 @ 10.88,"1,088.00",1,"1,088.00",-1,-0.132,100,NVDA,NVDA,1/22/22,260,PUT,189594752
2021-12-18T03:35:43+1100,Trade,BUY_TO_OPEN,NVDA  220121C00355000,Equity Option,Bought 1 NVDA 01/21/22 Call 355.00 @ 3.41,-341,1,-341,-1,-0.12,100,NVDA,NVDA,1/22/22,355,CALL,189594752
2021-12-30T05:59:22+1100,Trade,SELL_TO_CLOSE,NVDA  220121P00268750,Equity Option,Sold 1 NVDA 01/21/22 Put 268.75 @ 3.95,395,1,395,0,-0.132,100,NVDA,NVDA,1/22/22,268.75,PUT,191216530
2021-12-30T05:59:22+1100,Trade,BUY_TO_CLOSE,NVDA  220121P00280000,Equity Option,Bought 1 NVDA 01/21/22 Put 280.00 @ 6.55,-655,1,-655,0,-0.12,100,NVDA,NVDA,1/22/22,280,PUT,191216530
2021-12-30T06:06:26+1100,Trade,SELL_TO_CLOSE,NVDA  220121C00375000,Equity Option,Sold 1 NVDA 01/21/22 Call 375.00 @ 0.80,80,1,80,0,-0.132,100,NVDA,NVDA,1/22/22,375,CALL,191218435
2021-12-30T06:06:26+1100,Trade,BUY_TO_CLOSE,NVDA  220121C00360000,Equity Option,Bought 1 NVDA 01/21/22 Call 360.00 @ 1.36,-136,1,-136,0,-0.12,100,NVDA,NVDA,1/22/22,360,CALL,191218435
2021-12-30T06:06:26+1100,Trade,BUY_TO_CLOSE,NVDA  220121P00270000,Equity Option,Bought 1 NVDA 01/21/22 Put 270.00 @ 4.19,-419,1,-419,0,-0.12,100,NVDA,NVDA,1/22/22,270,PUT,191218435
2021-12-30T07:00:21+1100,Trade,SELL_TO_OPEN,NVDA  220218P00260000,Equity Option,Sold 1 NVDA 02/18/22 Put 260.00 @ 7.55,755,1,755,-1,-0.132,100,NVDA,NVDA,2/19/22,260,PUT,191233631
2021-12-30T07:00:21+1100,Trade,BUY_TO_CLOSE,NVDA  220121P00260000,Equity Option,Bought 1 NVDA 01/21/22 Put 260.00 @ 2.55,-255,1,-255,0,-0.12,100,NVDA,NVDA,1/22/22,260,PUT,191233631
2021-12-30T07:06:28+1100,Trade,SELL_TO_OPEN,NVDA  220218C00345000,Equity Option,Sold 1 NVDA 02/18/22 Call 345.00 @ 7.91,791,1,791,-1,-0.132,100,NVDA,NVDA,2/19/22,345,CALL,191234319
2021-12-30T07:06:28+1100,Trade,BUY_TO_CLOSE,NVDA  220121C00345000,Equity Option,Bought 1 NVDA 01/21/22 Call 345.00 @ 2.51,-251,1,-251,0,-0.12,100,NVDA,NVDA,1/22/22,345,CALL,191234319
2021-12-30T07:29:51+1100,Trade,SELL_TO_CLOSE,NVDA  220121C00355000,Equity Option,Sold 1 NVDA 01/21/22 Call 355.00 @ 1.65,165,1,165,0,-0.132,100,NVDA,NVDA,1/22/22,355,CALL,191234443
2021-12-30T07:29:51+1100,Trade,BUY_TO_OPEN,NVDA  220218C00355000,Equity Option,Bought 1 NVDA 02/18/22 Call 355.00 @ 6.10,-610,1,-610,-1,-0.12,100,NVDA,NVDA,2/19/22,355,CALL,191234443
2022-01-22T03:26:50+1100,Trade,SELL_TO_CLOSE,NVDA  220218C00355000,Equity Option,Sold 1 NVDA 02/18/22 Call 355.00 @ 0.38,38,1,38,0,-0.132,100,NVDA,NVDA,2/19/22,355,CALL,195125808
2022-01-22T03:26:50+1100,Trade,BUY_TO_CLOSE,NVDA  220218C00345000,Equity Option,Bought 1 NVDA 02/18/22 Call 345.00 @ 0.50,-50,1,-50,0,-0.12,100,NVDA,NVDA,2/19/22,345,CALL,195125808
2022-01-25T02:15:45+1100,Trade,BUY_TO_CLOSE,NVDA  220218P00260000,Equity Option,Bought 1 NVDA 02/18/22 Put 260.00 @ 47.20,"-4,720.00",1,"-4,720.00",0,-0.12,100,NVDA,NVDA,2/19/22,260,PUT,195424652
2022-01-25T02:15:45+1100,Trade,SELL_TO_OPEN,NVDA  220318P00260000,Equity Option,Sold 1 NVDA 03/18/22 Put 260.00 @ 50.61,"5,061.00",1,"5,061.00",-1,-0.152,100,NVDA,NVDA,3/19/22,260,PUT,195424652
2022-01-25T02:16:11+1100,Trade,SELL_TO_OPEN,NVDA  220318C00260000,Equity Option,Sold 1 NVDA 03/18/22 Call 260.00 @ 7.05,705,1,705,-1,-0.132,100,NVDA,NVDA,3/19/22,260,CALL,195425244
2022-02-12T07:40:47+1100,Trade,SELL_TO_OPEN,NVDA  220318P00240000,Equity Option,Sold 1 NVDA 03/18/22 Put 240.00 @ 21.10,"2,110.00",1,"2,110.00",-1,-0.152,100,NVDA,NVDA,3/19/22,240,PUT,199370054
2022-02-12T07:40:47+1100,Trade,SELL_TO_OPEN,NVDA  220318C00240000,Equity Option,Sold 1 NVDA 03/18/22 Call 240.00 @ 19.70,"1,970.00",1,"1,970.00",-1,-0.152,100,NVDA,NVDA,3/19/22,240,CALL,199370054
2022-02-19T01:38:57+1100,Trade,BUY_TO_CLOSE,NVDA  220318P00240000,Equity Option,Bought 1 NVDA 03/18/22 Put 240.00 @ 14.25,"-1,425.00",1,"-1,425.00",0,-0.13,100,NVDA,NVDA,3/19/22,240,PUT,199373212
2022-02-19T01:38:57+1100,Trade,BUY_TO_CLOSE,NVDA  220318C00240000,Equity Option,Bought 1 NVDA 03/18/22 Call 240.00 @ 18.39,"-1,839.00",1,"-1,839.00",0,-0.13,100,NVDA,NVDA,3/19/22,240,CALL,199373212
2022-02-26T01:33:53+1100,Trade,BUY_TO_CLOSE,NVDA  220318P00260000,Equity Option,Bought 1 NVDA 03/18/22 Put 260.00 @ 26.28,"-2,628.00",1,"-2,628.00",0,-0.13,100,NVDA,NVDA,3/19/22,260,PUT,201545676
2022-02-26T01:33:53+1100,Trade,SELL_TO_OPEN,NVDA  220414P00260000,Equity Option,Sold 1 NVDA 04/14/22 Put 260.00 @ 31.38,"3,138.00",1,"3,138.00",-1,-0.152,100,NVDA,NVDA,4/15/22,260,PUT,201545676
2022-02-26T01:33:53+1100,Trade,BUY_TO_CLOSE,NVDA  220318C00260000,Equity Option,Bought 1 NVDA 03/18/22 Call 260.00 @ 5.10,-510,1,-510,0,-0.13,100,NVDA,NVDA,3/19/22,260,CALL,201545676
2022-02-26T01:33:53+1100,Trade,SELL_TO_OPEN,NVDA  220414C00260000,Equity Option,Sold 1 NVDA 04/14/22 Call 260.00 @ 10.35,"1,035.00",1,"1,035.00",-1,-0.142,100,NVDA,NVDA,4/15/22,260,CALL,201545676
