Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2022-01-21T09:00:00+1100,Money Movement,,/MESH2,Future,/MESH2 mark to market at 4474.75 Preliminary settlement price,-742.5,3,-247.5,--,0,,,,,,,
2022-01-21T07:58:19+1100,Trade,BUY_TO_CLOSE,APPS  220218C00070000,Equity Option,Bought 8 APPS 02/18/22 Call 70.00 @ 0.24,-192,8,-24,0,-0.97,100,APPS,APPS,2/19/22,70,CALL,194931792
2022-01-21T07:46:14+1100,Trade,SELL_TO_CLOSE,TSLA,Equity,Sold 29 TSLA @ 1000.00,"29,000.00",29,"1,000.00",0,-0.177,,,,,,,194915743
2022-01-21T07:46:14+1100,Trade,SELL_TO_CLOSE,TSLA,Equity,Sold 1 TSLA @ 1000.00,"1,000.00",1,"1,000.00",0,-0.011,,,,,,,194915743
2022-01-21T07:10:47+1100,Trade,BUY_TO_OPEN,SPY   220218P00440000,Equity Option,Bought 2 SPY 02/18/22 Put 440.00 @ 6.38,"-1,276.00",2,-638,-2,-0.24,100,SPY,SPY,2/19/22,440,PUT,194888087
2022-01-21T02:35:01+1100,Trade,SELL_TO_OPEN,NVAX  220218C00160000,Equity Option,Sold 2 NVAX 02/18/22 Call 160.00 @ 1.98,396,2,198,-2,-0.254,100,NVAX,NVAX,2/19/22,160,CALL,194611367
2022-01-21T02:35:01+1100,Trade,SELL_TO_OPEN,NVAX  220218C00200000,Equity Option,Sold 2 NVAX 02/18/22 Call 200.00 @ 0.92,184,2,92,0,-0.24,100,NVAX,NVAX,2/19/22,200,CALL,194611367
2022-01-21T02:30:08+1100,Trade,SELL_TO_OPEN,NVAX  220218C00150000,Equity Option,Sold 1 NVAX 02/18/22 Call 150.00 @ 2.42,242,1,242,-1,-0.132,100,NVAX,NVAX,2/19/22,150,CALL,194612383
2022-01-21T01:30:01+1100,Trade,BUY_TO_CLOSE,ASTR  220218C00012500,Equity Option,Bought 2 ASTR 02/18/22 Call 12.50 @ 0.06,-12,2,-6,0,-0.24,100,ASTR,ASTR,2/19/22,12.5,CALL,193648480
2022-01-21T02:30:08+1100,Trade,BUY_TO_CLOSE,NVAX  220218C00150000,Equity Option,Sold 1 NVAX 02/18/22 Call 150.00 @ 2.42,242,1,242,-1,-0.132,100,NVAX,NVAX,2/19/22,150,CALL,194612383
2022-01-21T02:35:01+1100,Trade,BUY_TO_CLOSE,NVAX  220218C00200000,Equity Option,Bought 2 NVAX 02/18/22 Call 200.00 @ 0.92,-184,2,-92,0,-0.24,100,NVAX,NVAX,2/19/22,200,CALL,194611367
