Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2021-07-17T07:00:00+1000,Money Movement,,,,INTEREST ON CREDIT BALANCE,0.05,0,,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,PLTR  230120C00027000,Equity Option,Transferred 1.0 Short PLTR 01/20/23 Call 27.00,0.00,1,0.00,--,0.00,100,PLTR,PLTR,1/21/23,27.0,CALL,
2021-07-14T07:00:00+1000,Receive Deliver,BUY_TO_OPEN,SOL   210820C00010000,Equity Option,Transferred 18.0 Long SOL 08/20/21 Call 10.00,0.00,18,0.00,--,0.00,100,SOL,SOL,8/21/21,10.0,CALL,
2021-07-14T07:00:00+1000,Receive Deliver,BUY_TO_OPEN,CELH  210716P00065000,Equity Option,Transferred 1.0 Long CELH 07/16/21 Put 65.00,0.00,1,0.00,--,0.00,100,CELH,CELH,7/17/21,65.0,PUT,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,SPY   220617C00422000,Equity Option,Transferred 2.0 Short SPY 06/17/22 Call 422.00,0.00,2,0.00,--,0.00,100,SPY,SPY,6/18/22,422.0,CALL,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,SENS  230120C00007000,Equity Option,Transferred 2.0 Short SENS 01/20/23 Call 7.00,0.00,2,0.00,--,0.00,100,SENS,SENS,1/21/23,7.0,CALL,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,CCIV  230120C00020000,Equity Option,Transferred 1.0 Short CCIV 01/20/23 Call 20.00,0.00,1,0.00,--,0.00,100,CCIV,CCIV,1/21/23,20.0,CALL,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,NIO   230120C00050000,Equity Option,Transferred 1.0 Short NIO 01/20/23 Call 50.00,0.00,1,0.00,--,0.00,100,NIO,NIO,1/21/23,50.0,CALL,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,SPY   230120C00385000,Equity Option,Transferred 1.0 Short SPY 01/20/23 Call 385.00,0.00,1,0.00,--,0.00,100,SPY,SPY,1/21/23,385.0,CALL,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,CLF   230120C00012000,Equity Option,Transferred 4.0 Short CLF 01/20/23 Call 12.00,0.00,4,0.00,--,0.00,100,CLF,CLF,1/21/23,12.0,CALL,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,IPOD,Equity,Transferred 45.0 Short IPOD,0.00,45,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,VIAC,Equity,Transferred 25.0 Short VIAC,0.00,25,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,TSLA,Equity,Transferred 45.0 Short TSLA,0.00,45,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,SENS,Equity,Transferred 626.0 Short SENS,0.00,626,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,SOL,Equity,Transferred 1800.0 Short SOL,0.00,1800,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,PSTH,Equity,Transferred 2.0 Short PSTH,0.00,2,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,PLTR,Equity,Transferred 606.0 Short PLTR,0.00,606,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,NVAX,Equity,Transferred 75.0 Short NVAX,0.00,75,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,NIO,Equity,Transferred 200.0 Short NIO,0.00,200,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,MARA,Equity,Transferred 100.0 Short MARA,0.00,100,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,LXRX,Equity,Transferred 2117.0 Short LXRX,0.00,2117,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,FB,Equity,Transferred 2.0 Short FB,0.00,2,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,ENPH,Equity,Transferred 91.0 Short ENPH,0.00,91,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,DISCA,Equity,Transferred 51.0 Short DISCA,0.00,51,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,APPS,Equity,Transferred 864.0 Short APPS,0.00,864,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,CLOV,Equity,Transferred 100.0 Short CLOV,0.00,100,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,CTXR,Equity,Transferred 38.0 Short CTXR,0.00,38,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,CCIV,Equity,Transferred 61.0 Short CCIV,0.00,61,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,CELH,Equity,Transferred 53.0 Short CELH,0.00,53,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,BB,Equity,Transferred 79.0 Short BB,0.00,79,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,BNGO,Equity,Transferred 100.0 Short BNGO,0.00,100,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,AYRO,Equity,Transferred 6.0 Short AYRO,0.00,6,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,ASTR,Equity,Transferred 250.0 Short ASTR,0.00,250,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,AAPL,Equity,Transferred 10.0 Short AAPL,0.00,10,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Receive Deliver,SELL_TO_OPEN,YOLO,Equity,Transferred 12.0 Short YOLO,0.00,12,0.00,--,0.00,,,,,,,
2021-07-14T07:00:00+1000,Money Movement,,,,TFR TO ACCT 6AB-07801-1,"-7,133.35",0,,--,0.00,,,,,,,
2021-07-10T23:21:47+1000,Money Movement,,,,Regulatory fee adjustment,0.04,0,,--,0.00,,,,,,,
2021-07-10T06:00:00+1000,Receive Deliver,,APPS  210709C00075000,Equity Option,Removal of 8.0 APPS 07/09/21 Call 75.00 due to expiration.,0.00,8,0.00,--,0.00,100,APPS,APPS,7/10/21,75.0,CALL,
2021-07-07T23:43:38+1000,Trade,BUY_TO_OPEN,CTXR,Equity,Bought 16 CTXR @ 2.29,-36.64,16,-2.29,0.00,-0.013,,,,,,,159422944
2021-07-07T23:42:54+1000,Trade,BUY_TO_OPEN,CTXR,Equity,Bought 2 CTXR @ 2.29,-4.58,2,-2.29,0.00,-0.002,,,,,,,159421647
2021-07-07T23:40:37+1000,Trade,BUY_TO_OPEN,PLTR  230120C00027000,Equity Option,Bought 1 PLTR 01/20/23 Call 27.00 @ 6.10,-610.00,1,-610.00,-1.00,-0.13,100,PLTR,PLTR,1/21/23,27.0,CALL,159418974
2021-07-07T23:30:05+1000,Trade,SELL_TO_OPEN,SOL   210820C00010000,Equity Option,Sold 18 SOL 08/20/21 Call 10.00 @ 0.70,"1,260.00",18,70.00,-10.00,-2.466,100,SOL,SOL,8/21/21,10.0,CALL,159398181
2021-07-03T23:57:24+1000,Money Movement,,,,Regulatory fee adjustment,0.07,0,,--,0.00,,,,,,,
2021-07-03T06:00:00+1000,Receive Deliver,,SOL   210702C00010000,Equity Option,Removal of 18.0 SOL 07/02/21 Call 10.00 due to expiration.,0.00,18,0.00,--,0.00,100,SOL,SOL,7/03/21,10.0,CALL,
2021-07-02T23:58:00+1000,Trade,BUY_TO_OPEN,CTXR,Equity,Bought 19 CTXR @ 2.16,-41.04,19,-2.16,0.00,-0.016,,,,,,,158899491
2021-07-02T23:55:01+1000,Trade,BUY_TO_OPEN,CCIV  230120C00020000,Equity Option,Bought 1 CCIV 01/20/23 Call 20.00 @ 14.05,"-1,405.00",1,"-1,405.00",-1.00,-0.13,100,CCIV,CCIV,1/21/23,20.0,CALL,158890247
2021-07-02T23:44:08+1000,Trade,SELL_TO_OPEN,CELH  210716P00065000,Equity Option,Sold 1 CELH 07/16/21 Put 65.00 @ 0.95,95.00,1,95.00,-1.00,-0.142,100,CELH,CELH,7/17/21,65.0,PUT,158882416
2021-07-02T23:31:04+1000,Trade,BUY_TO_CLOSE,APPS  210702C00075000,Equity Option,Bought 7 APPS 07/02/21 Call 75.00 @ 3.13,"-2,191.00",7,-313.00,0.00,-0.94,100,APPS,APPS,7/03/21,75.0,CALL,158860022
2021-07-02T23:31:04+1000,Trade,SELL_TO_OPEN,APPS  210709C00075000,Equity Option,Sold 7 APPS 07/09/21 Call 75.00 @ 4.18,"2,926.00",7,418.00,-7.00,-0.974,100,APPS,APPS,7/10/21,75.0,CALL,158860022
2021-07-02T23:31:04+1000,Trade,BUY_TO_CLOSE,APPS  210702C00075000,Equity Option,Bought 1 APPS 07/02/21 Call 75.00 @ 3.14,-314.00,1,-314.00,0.00,-0.13,100,APPS,APPS,7/03/21,75.0,CALL,158860022
2021-07-02T23:31:04+1000,Trade,SELL_TO_OPEN,APPS  210709C00075000,Equity Option,Sold 1 APPS 07/09/21 Call 75.00 @ 4.19,419.00,1,419.00,-1.00,-0.142,100,APPS,APPS,7/10/21,75.0,CALL,158860022
2021-07-02T07:00:00+1000,Money Movement,,VIAC,Equity,VIACOMCBS INC,-0.90,0,,--,0.00,,,,,,,
2021-07-02T07:00:00+1000,Money Movement,,VIAC,Equity,VIACOMCBS INC,6.00,0,,--,0.00,,,,,,,
2021-07-01T23:02:32+1000,Trade,BUY_TO_OPEN,DISCA,Equity,Bought 25 DISCA @ 30.70,-767.50,25,-30.70,0.00,-0.02,,,,,,,158632915
2021-07-01T20:55:00+1000,Receive Deliver,BUY_TO_OPEN,ASTR,Equity,Symbol change:  Open 250.0 ASTR,"-4,009.00",250,-16.04,--,0.00,,,,,,,
2021-07-01T20:55:00+1000,Receive Deliver,SELL_TO_CLOSE,HOL,Equity,Symbol change:  Close 250.0 HOL,"4,009.00",250,16.04,--,0.00,,,,,,,
2021-07-01T05:54:40+1000,Trade,BUY_TO_OPEN,BNGO,Equity,Bought 59 BNGO @ 7.29,-430.11,59,-7.29,0.00,-0.048,,,,,,,158606864
2021-07-01T05:54:40+1000,Trade,BUY_TO_OPEN,BNGO,Equity,Bought 1 BNGO @ 7.29,-7.29,1,-7.29,0.00,-0.001,,,,,,,158606864
2021-07-01T05:51:09+1000,Trade,BUY_TO_OPEN,HOL,Equity,Bought 8 HOL @ 12.39,-99.12,8,-12.39,0.00,-0.007,,,,,,,158603567
2021-07-01T05:51:09+1000,Trade,BUY_TO_OPEN,HOL,Equity,Bought 70 HOL @ 12.39,-867.30,70,-12.39,0.00,-0.056,,,,,,,158603567
2021-07-01T05:51:02+1000,Trade,BUY_TO_OPEN,HOL,Equity,Bought 22 HOL @ 12.39,-272.58,22,-12.39,0.00,-0.018,,,,,,,158603567
2021-07-01T00:52:27+1000,Trade,SELL_TO_CLOSE,POWW  220121C00007500,Equity Option,Sold 3 POWW 01/21/22 Call 7.50 @ 3.50,"1,050.00",3,350.00,0.00,-0.416,100,POWW,POWW,1/22/22,7.5,CALL,158129465
2021-06-29T05:51:04+1000,Trade,BUY_TO_OPEN,POWW  220121C00007500,Equity Option,Bought 1 POWW 01/21/22 Call 7.50 @ 2.55,-255.00,1,-255.00,-1.00,-0.13,100,POWW,POWW,1/22/22,7.5,CALL,158128165
